country_code,country_name,skill_group_category,skill_group_name,year,value
ar,Argentina,Specialized Industry Skills,Biomedical Engineering,2017,-42.63
ar,Argentina,Specialized Industry Skills,Dance,2017,-11.95
ar,Argentina,Specialized Industry Skills,Documentation,2017,78.6
ar,Argentina,Business Skills,Customer Experience,2017,31.55
ar,Argentina,Specialized Industry Skills,Automotive,2017,6.06
ar,Argentina,Business Skills,Management Consulting,2017,28.0
ar,Argentina,Tech Skills,Computer Hardware,2017,9.72
ar,Argentina,Business Skills,Product Marketing,2017,14.54
ar,Argentina,Tech Skills,Enterprise Software,2017,9.74
ar,Argentina,Specialized Industry Skills,Electronics,2017,32.0
ar,Argentina,Specialized Industry Skills,Air Force,2017,45.39
ar,Argentina,Specialized Industry Skills,Social Services,2017,20.27
ar,Argentina,Soft Skills,Teamwork,2017,58.26
ar,Argentina,Specialized Industry Skills,Foreign Languages,2017,0.15
ar,Argentina,Business Skills,Competitive Strategies,2017,-39.33
ar,Argentina,Specialized Industry Skills,Public Policy,2017,-25.79
ar,Argentina,Specialized Industry Skills,Journalism,2017,22.67
ar,Argentina,Specialized Industry Skills,Navy,2017,-37.6
ar,Argentina,Specialized Industry Skills,Event Planning,2017,17.17
ar,Argentina,Business Skills,Inside Sales,2017,14.28
ar,Argentina,Specialized Industry Skills,Evolutionary Biology,2017,-37.08
ar,Argentina,Specialized Industry Skills,Cooking,2017,20.74
ar,Argentina,Tech Skills,Social Media,2017,12.35
ar,Argentina,Specialized Industry Skills,Recruiting,2017,0.0
ar,Argentina,Disruptive Tech Skills,Genetic Engineering,2017,-30.04
ar,Argentina,Business Skills,People Management,2017,86.27
ar,Argentina,Specialized Industry Skills,Family Medicine,2017,-6.88
ar,Argentina,Business Skills,Commercial Banking,2017,38.81
ar,Argentina,Specialized Industry Skills,K-12 Education,2017,28.01
ar,Argentina,Specialized Industry Skills,Retail,2017,12.99
ar,Argentina,Specialized Industry Skills,International Law,2017,-2.57
ar,Argentina,Business Skills,Capital Markets,2017,50.96
